transition_min;aircraft_type;active_count;landed_count;diverted_count;crashed_count;crashed_from_go_around_transition_count;crashed_from_other_status_count;crashed_after_go_around_count;crashed_without_go_around_count;diversion_rate;diverted_before_holding_rate;diverted_after_holding_rate;holding_delay_rate;mean_holding_time_among_actually_delayed_aircraft_min;mean_holding_time_per_active_aircraft_min;at_least_one_go_around;total_go_around_count;go_around_sortie_count;go_around_sortie_rate;go_around_events_per_active_sortie;mean_fuel_margin_percent_of_reserve;minimum_fuel_margin_percent_of_reserve;mean_fuel_margin_percent_of_normal_load;minimum_fuel_margin_percent_of_normal_load;mean_remaining_endurance_min;minimum_remaining_endurance_min;mean_low_fuel_endurance_margin_min;minimum_low_fuel_endurance_margin_min;mean_emergency_endurance_margin_min;minimum_emergency_endurance_margin_min;ever_low_fuel_rate;ever_emergency_endurance_rate;ever_below_reserve_rate;fuel_priority_landings
30;An-26;0,8580;0,8580;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,9406;5,2859;5,2859;0,0620;0,0690;0,0620;0,0723;0,0804;433,1530;433,1530;62,8072;62,8072;110,4388;110,4388;85,4388;85,4388;95,4388;95,4388;0,0000;0,0000;0,0000;0,0000
30;CASA;1,5240;1,5240;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,9068;6,3852;6,0546;0,0090;0,0090;0,0090;0,0055;0,0055;671,9524;665,5982;80,6343;79,8718;617,5619;612,4786;592,5619;587,4786;602,5619;597,4786;0,0000;0,0000;0,0000;0,0000
30;G-4;2,0000;1,9900;0,0100;0,0000;0,0000;0,0000;0,0000;0,0000;0,0050;0,0000;0,0050;1,0000;4,1338;4,1338;0,1920;0,2280;0,2060;0,1030;0,1140;100,2990;77,4690;27,2688;21,0619;58,0867;51,4660;33,0867;26,4660;43,0867;36,4660;0,0165;0,0070;0,0215;0,0230
30;H145;3,0000;3,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;1,0000;4,6442;4,6442;0,0140;0,0140;0,0140;0,0047;0,0047;585,0826;553,8073;62,6874;59,3365;146,8034;140,1016;121,8034;115,1016;131,8034;125,1016;0,0000;0,0000;0,0000;0,0000
30;Lasta;1,9860;1,9860;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,9495;6,1025;5,9564;0,1960;0,2250;0,2060;0,1030;0,1125;525,9076;492,0291;63,1089;59,0435;144,4402;136,6221;119,4402;111,6221;129,4402;121,6221;0,0000;0,0000;0,0000;0,0000
30;Mi-17;2,0000;2,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,9995;4,2239;4,2227;0,1670;0,1930;0,1770;0,0885;0,0965;728,6832;694,4847;63,7598;60,7674;174,0235;166,8418;149,0235;141,8418;159,0235;151,8418;0,0000;0,0000;0,0000;0,0000
30;MiG-29;3,8410;3,8400;0,0010;0,0000;0,0000;0,0000;0,0000;0,0000;0,0003;0,0000;0,0003;0,7734;3,5597;2,7620;0,3290;0,4140;0,3710;0,0960;0,1071;301,3293;215,7108;49,4720;35,4152;68,9785;54,2628;43,9785;29,2628;53,9785;39,2628;0,0041;0,0015;0,0015;0,0150
45;An-26;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,9240;4,4408;4,4408;0,0770;0,0830;0,0770;0,0770;0,0830;364,7346;364,7346;52,8865;52,8865;96,2665;96,2665;71,2665;71,2665;81,2665;81,2665;0,0000;0,0000;0,0000;0,0000
45;CASA;1,9770;1,9770;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,8140;5,0672;4,0588;0,0120;0,0120;0,0120;0,0060;0,0060;656,1496;641,3060;78,7379;76,9567;604,9197;593,0448;579,9197;568,0448;589,9197;578,0448;0,0000;0,0000;0,0000;0,0000
45;G-4;2,0000;1,9840;0,0160;0,0000;0,0000;0,0000;0,0000;0,0000;0,0080;0,0000;0,0080;0,7175;4,7565;3,3138;0,1610;0,1900;0,1680;0,0840;0,0950;61,4659;44,6418;16,7110;12,1370;46,8251;41,9461;21,8251;16,9461;31,8251;26,9461;0,0485;0,0160;0,0585;0,0810
45;H145;3,0060;3,0060;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,7080;5,9846;4,2945;0,0180;0,0180;0,0180;0,0059;0,0059;539,5951;489,6053;57,8138;52,4577;137,0561;126,3440;112,0561;101,3440;122,0561;111,3440;0,0000;0,0000;0,0000;0,0000
45;Lasta;2,0000;2,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,5860;3,3967;2,3106;0,1090;0,1210;0,1130;0,0565;0,0605;506,1125;464,3504;60,7335;55,7221;139,8721;130,2347;114,8721;105,2347;124,8721;115,2347;0,0000;0,0000;0,0000;0,0000
45;Mi-17;2,0200;2,0200;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,5798;3,1289;1,8509;0,1140;0,1300;0,1150;0,0567;0,0640;716,1357;641,9070;62,6619;56,1669;171,3885;155,8005;146,3885;130,8005;156,3885;140,8005;0,0005;0,0005;0,0005;0,0010
45;MiG-29;4,0000;3,9980;0,0020;0,0000;0,0000;0,0000;0,0000;0,0000;0,0005;0,0000;0,0005;0,5058;3,1968;1,5792;0,2870;0,3540;0,3290;0,0823;0,0885;230,8322;169,3714;37,8978;27,8072;56,8618;46,2982;31,8618;21,2982;41,8618;31,2982;0,0053;0,0020;0,0022;0,0190
60;An-26;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,9050;3,7611;3,7611;0,0830;0,0870;0,0830;0,0830;0,0870;284,4754;284,4754;41,2489;41,2489;79,6413;79,6413;54,6413;54,6413;64,6413;64,6413;0,0020;0,0000;0,0010;0,0020
60;CASA;2,0000;2,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,7380;4,7710;3,5925;0,0110;0,0110;0,0110;0,0055;0,0055;630,8241;615,6657;75,6989;73,8799;584,6593;572,5326;559,6593;547,5326;569,6593;557,5326;0,0000;0,0000;0,0000;0,0000
60;G-4;2,0000;1,9480;0,0520;0,0000;0,0000;0,0000;0,0000;0,0000;0,0260;0,0000;0,0260;0,4175;4,2894;2,1752;0,1080;0,1130;0,1080;0,0540;0,0565;44,0796;10,0187;11,9841;2,7238;41,7831;31,9054;16,7831;6,9054;26,7831;16,9054;0,0620;0,0405;0,1480;0,0720
60;H145;4,2280;4,2280;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,4425;5,4233;2,4964;0,0140;0,0140;0,0140;0,0033;0,0033;519,0889;432,6773;55,6167;46,3583;132,6619;114,1451;107,6619;89,1451;117,6619;99,1451;0,0000;0,0000;0,0000;0,0000
60;Lasta;2,0000;2,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,4775;2,6465;1,3268;0,0870;0,0930;0,0880;0,0440;0,0465;480,6025;402,9540;57,6723;48,3545;133,9852;116,0663;108,9852;91,0663;118,9852;101,0663;0,0000;0,0000;0,0000;0,0000
60;Mi-17;2,7500;2,7500;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,4882;3,5075;1,8990;0,1540;0,1710;0,1570;0,0563;0,0613;679,1907;577,3694;59,4292;50,5198;163,6300;142,2476;138,6300;117,2476;148,6300;127,2476;0,0000;0,0000;0,0000;0,0000
60;MiG-29;4,0000;3,9860;0,0130;0,0010;0,0010;0,0000;0,0010;0,0000;0,0032;0,0000;0,0032;0,2582;3,7156;0,9667;0,1160;0,1410;0,1200;0,0300;0,0352;207,5607;128,5166;34,0771;21,0997;52,8620;39,2763;27,8620;14,2763;37,8620;24,2763;0,0198;0,0090;0,0112;0,0650
75;An-26;1,0000;0,9990;0,0010;0,0000;0,0000;0,0000;0,0000;0,0000;0,0010;0,0000;0,0010;0,9010;2,2850;2,2850;0,0740;0,0830;0,0740;0,0740;0,0830;209,7236;209,7236;30,4099;30,4099;64,1570;64,1570;39,1570;39,1570;49,1570;49,1570;0,0100;0,0050;0,0060;0,0090
75;CASA;2,0000;2,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,7575;2,9193;2,4052;0,0090;0,0090;0,0090;0,0045;0,0045;605,9594;591,3943;72,7151;70,9673;564,7676;553,1155;539,7676;528,1155;549,7676;538,1155;0,0000;0,0000;0,0000;0,0000
75;G-4;2,0000;1,9820;0,0180;0,0000;0,0000;0,0000;0,0000;0,0000;0,0090;0,0000;0,0090;0,0560;0,6529;0,3265;0,0260;0,0290;0,0260;0,0130;0,0145;50,0245;21,2712;13,6004;5,7831;43,5071;35,1687;18,5071;10,1687;28,5071;20,1687;0,0180;0,0110;0,0380;0,0180
75;H145;5,5260;5,5260;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,4620;3,9811;1,8279;0,0170;0,0180;0,0170;0,0031;0,0033;478,7428;355,5758;51,2939;38,0974;124,0163;97,6234;99,0163;72,6234;109,0163;82,6234;0,0000;0,0000;0,0000;0,0000
75;Lasta;2,3360;2,3360;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,1210;1,1382;0,4791;0,0740;0,0820;0,0750;0,0303;0,0330;503,8676;414,3721;60,4641;49,7247;139,3541;118,7013;114,3541;93,7013;124,3541;103,7013;0,0003;0,0000;0,0003;0,0010
75;Mi-17;3,0000;3,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,3407;2,3254;0,8343;0,1000;0,1120;0,1000;0,0333;0,0373;666,2516;531,0029;58,2970;46,4628;160,9128;132,5106;135,9128;107,5106;145,9128;117,5106;0,0000;0,0000;0,0000;0,0000
75;MiG-29;4,0000;3,9760;0,0240;0,0000;0,0000;0,0000;0,0000;0,0000;0,0060;0,0000;0,0060;0,1318;2,2104;0,5526;0,0620;0,0690;0,0620;0,0155;0,0173;196,8043;85,2219;32,3112;13,9916;51,0132;31,8350;26,0132;6,8350;36,0132;16,8350;0,0278;0,0123;0,0138;0,0870
90;An-26;1,0000;0,9980;0,0010;0,0010;0,0010;0,0000;0,0010;0,0000;0,0010;0,0000;0,0010;0,5170;2,1354;2,1354;0,0610;0,0660;0,0610;0,0610;0,0660;159,3295;159,3295;23,1028;23,1028;53,7182;53,7182;28,7182;28,7182;38,7182;38,7182;0,0170;0,0040;0,0050;0,0150
90;CASA;2,0000;2,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,6570;5,1764;3,3857;0,0040;0,0040;0,0040;0,0020;0,0020;585,1256;577,3153;70,2151;69,2778;548,1005;541,8522;523,1005;516,8522;533,1005;526,8522;0,0000;0,0000;0,0000;0,0000
90;G-4;2,3840;2,3840;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,1273;2,0328;0,6776;0,0410;0,0450;0,0410;0,0137;0,0150;67,4984;25,7825;18,3511;7,0096;48,5745;36,4769;23,5745;11,4769;33,5745;21,4769;0,0000;0,0000;0,0000;0,0000
90;H145;5,9900;5,9900;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,4594;3,7963;1,7392;0,0300;0,0310;0,0300;0,0050;0,0052;439,8081;289,2420;47,1223;30,9902;115,6732;83,4090;90,6732;58,4090;100,6732;68,4090;0,0002;0,0000;0,0000;0,0010
90;Lasta;2,9660;2,9660;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0183;0,2671;0,0890;0,0900;0,1000;0,0900;0,0300;0,0333;527,5806;434,4101;63,3097;52,1292;144,8263;123,3254;119,8263;98,3254;129,8263;108,3254;0,0000;0,0000;0,0000;0,0000
90;Mi-17;3,0000;3,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,1827;2,1909;0,7303;0,0760;0,0830;0,0760;0,0253;0,0277;660,9045;510,0126;57,8291;44,6261;159,7899;128,1027;134,7899;103,1027;144,7899;113,1027;0,0000;0,0000;0,0000;0,0000
90;MiG-29;4,1640;4,1600;0,0040;0,0000;0,0000;0,0000;0,0000;0,0000;0,0010;0,0000;0,0010;0,0427;1,1237;0,2482;0,0190;0,0220;0,0190;0,0041;0,0048;207,0367;102,1428;33,9911;16,7697;52,7719;34,7433;27,7719;9,7433;37,7719;19,7433;0,0071;0,0015;0,0017;0,0250
