transition_min;aircraft_type;active_count;landed_count;diverted_count;crashed_count;crashed_from_go_around_transition_count;crashed_from_other_status_count;crashed_after_go_around_count;crashed_without_go_around_count;diversion_rate;diverted_before_holding_rate;diverted_after_holding_rate;holding_delay_rate;mean_holding_time_among_actually_delayed_aircraft_min;mean_holding_time_per_active_aircraft_min;at_least_one_go_around;total_go_around_count;go_around_sortie_count;go_around_sortie_rate;go_around_events_per_active_sortie;mean_fuel_margin_percent_of_reserve;minimum_fuel_margin_percent_of_reserve;mean_fuel_margin_percent_of_normal_load;minimum_fuel_margin_percent_of_normal_load;mean_remaining_endurance_min;minimum_remaining_endurance_min;mean_low_fuel_endurance_margin_min;minimum_low_fuel_endurance_margin_min;mean_emergency_endurance_margin_min;minimum_emergency_endurance_margin_min;ever_low_fuel_rate;ever_emergency_endurance_rate;ever_below_reserve_rate;fuel_priority_landings
30;An-26;0,8580;0,8580;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,9942;29,8985;29,8985;0,0680;0,0730;0,0680;0,0793;0,0851;313,7786;313,7786;45,4979;45,4979;85,7113;85,7113;60,7113;60,7113;70,7113;70,7113;0,0000;0,0000;0,0000;0,0000
30;CASA;1,5240;1,5240;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,2812;1,4517;1,0213;0,0040;0,0040;0,0040;0,0030;0,0030;678,3266;672,1759;81,3992;80,6611;622,6613;617,7407;597,6613;592,7407;607,6613;602,7407;0,0000;0,0000;0,0000;0,0000
30;G-4;2,0000;1,9330;0,0660;0,0010;0,0010;0,0000;0,0010;0,0000;0,0330;0,0000;0,0330;1,0000;23,8263;23,8263;0,2220;0,2590;0,2320;0,1160;0,1295;31,9771;4,2212;8,6938;1,1476;38,2734;30,2241;13,2734;5,2241;23,2734;15,2241;0,1225;0,0565;0,2165;0,1780
30;H145;3,0000;3,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,9360;2,4933;2,3319;0,0280;0,0280;0,0280;0,0093;0,0093;595,1325;564,3428;63,7642;60,4653;148,9570;142,3592;123,9570;117,3592;133,9570;127,3592;0,0000;0,0000;0,0000;0,0000
30;Lasta;1,9860;1,9860;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,9865;35,8425;35,4478;0,1890;0,2080;0,1960;0,0985;0,1045;399,1063;369,7102;47,8928;44,3652;115,1784;108,3947;90,1784;83,3947;100,1784;93,3947;0,0000;0,0000;0,0000;0,0000
30;Mi-17;2,0000;2,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;1,0000;39,6482;39,6482;0,1730;0,1940;0,1820;0,0910;0,0970;559,8316;525,1334;48,9853;45,9492;138,5646;131,2780;113,5646;106,2780;123,5646;116,2780;0,0000;0,0000;0,0000;0,0000
30;MiG-29;3,8410;3,8300;0,0110;0,0000;0,0000;0,0000;0,0000;0,0000;0,0027;0,0000;0,0027;0,6937;19,9452;13,7724;0,3150;0,3940;0,3610;0,0941;0,1023;237,7898;126,6953;39,0401;20,8007;58,0576;38,9633;33,0576;13,9633;43,0576;23,9633;0,0307;0,0087;0,0116;0,1060
45;An-26;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,9990;26,7730;26,7730;0,0690;0,0740;0,0690;0,0690;0,0740;257,8540;257,8540;37,3888;37,3888;74,1269;74,1269;49,1269;49,1269;59,1269;59,1269;0,0010;0,0000;0,0000;0,0010
45;CASA;1,9770;1,9770;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,4520;2,1465;1,4205;0,0150;0,0150;0,0150;0,0075;0,0075;659,3852;645,1340;79,1262;77,4161;607,5082;596,1072;582,5082;571,1072;592,5082;581,1072;0,0000;0,0000;0,0000;0,0000
45;G-4;2,0000;1,8910;0,1090;0,0000;0,0000;0,0000;0,0000;0,0000;0,0545;0,0000;0,0545;0,7165;21,2201;15,2942;0,1660;0,1790;0,1730;0,0865;0,0895;21,2752;-6,9579;5,7842;-1,8917;35,1698;26,9822;10,1698;1,9822;20,1698;11,9822;0,2275;0,0645;0,3950;0,3460
