transition_min;replication;seed;generated_active_count;cancelled_not_started_count;all_aircraft_land_above_reserve;at_least_one_aircraft_ever_low_fuel;at_least_one_aircraft_ever_emergency_endurance;at_least_one_aircraft_ever_below_reserve;at_least_one_aircraft_landed_below_reserve;minimum_fuel_margin_percent_of_reserve;minimum_fuel_margin_percent_of_normal_load;minimum_remaining_endurance_min;minimum_low_fuel_endurance_margin_min;minimum_emergency_endurance_margin_min;mean_holding_time_min;mean_holding_time_per_active_aircraft_min;holding_delay_rate;max_holding_time_min;total_holding_time_min;total_holding_fuel_consumption_kg;at_least_one_go_around;total_go_around_count;go_around_sortie_count;go_around_sortie_rate;go_around_events_per_active_sortie;diversion_rate;diversion_before_holding_rate;diversion_after_holding_rate;fuel_priority_landings;landed_count;diverted_count;diverted_before_holding_count;diverted_after_holding_count;crashed_count;crashed_from_go_around_transition_count;crashed_from_other_status_count;crashed_after_go_around_count;crashed_without_go_around_count;crashed_from_statuses;not_landed_count;ever_vfr_activity_count;ever_ready_for_approach_count;ever_holding_count;ever_approach_count;active_unresolved_count;final_simulation_time_min
30;1;20260708;15;15;True;False;False;False;False;88,7321;24,1240;54,0612;29,0612;39,0612;5,1964;4,8500;0,9333;21,4167;72,7500;936,6367;True;2;2;0,1333;0,1333;0,0000;0,0000;0,0000;0;15;0;0;0;0;0;0;0;0;;0;15;15;14;15;0;106,1667
45;1;20260708;16;14;True;False;False;False;False;14,7614;4,0133;33,2808;8,2808;18,2808;3,9917;2,4948;0,6250;13,3333;39,9167;686,9550;True;1;1;0,0625;0,0625;0,0000;0,0000;0,0000;0;16;0;0;0;0;0;0;0;0;;0;16;16;10;16;0;87,5000
60;1;20260708;18;12;True;False;False;False;False;45,6203;12,4030;42,2299;17,2299;27,2299;4,0729;1,8102;0,4444;8,5000;32,5833;325,4883;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0;18;0;0;0;0;0;0;0;0;;0;16;18;8;18;0;100,3333
75;1;20260708;21;9;False;False;False;True;True;-6,0824;-1,6536;27,2361;2,2361;12,2361;3,0648;1,3135;0,4286;7,7500;27,5833;305,5083;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0;21;0;0;0;0;0;0;0;0;;0;20;21;9;21;0;114,9167
90;1;20260708;22;8;True;False;False;False;False;29,0263;7,8915;35,8917;10,8917;20,8917;4,9167;1,1174;0,2273;8,5000;24,5833;151,2750;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0;22;0;0;0;0;0;0;0;0;;0;21;22;5;22;0;121,6667
30;2;20260709;15;15;True;False;False;False;False;89,7930;24,4125;55,0400;30,0400;40,0400;5,6726;5,2944;0,9333;18,2500;79,4167;807,1583;True;2;2;0,1333;0,1333;0,0000;0,0000;0,0000;0;15;0;0;0;0;0;0;0;0;;0;12;15;14;15;0;106,5000
45;2;20260709;16;14;True;False;False;False;False;56,1652;15,2699;42,2131;17,2131;27,2131;6,7083;5,0312;0,7500;27,6667;80,5000;700,8900;True;1;1;0,0625;0,0625;0,0000;0,0000;0,0000;0;16;0;0;0;0;0;0;0;0;;0;16;16;12;16;0;99,5833
60;2;20260709;18;12;True;False;False;False;False;66,4962;18,0786;45,6864;20,6864;30,6864;4,5938;2,0417;0,4444;12,1667;36,7500;412,5883;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0;18;0;0;0;0;0;0;0;0;;0;16;18;8;18;0;101,4167
75;2;20260709;20;10;True;False;False;False;False;8,4558;2,2989;28,8751;3,8751;13,8751;4,2593;1,9167;0,4500;12,5833;38,3333;442,2833;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0;20;0;0;0;0;0;0;0;0;;0;19;20;9;20;0;116,8333
90;2;20260709;21;9;True;False;False;False;False;24,6698;6,7071;36,1543;11,1543;21,1543;2,8167;0,6706;0,2381;4,9167;14,0833;66,3750;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0;21;0;0;0;0;0;0;0;0;;0;21;21;5;21;0;118,0000
30;3;20260710;15;15;True;False;False;False;False;69,7662;18,9677;49,2322;24,2322;34,2322;5,2308;4,5333;0,8667;23,8333;68,0000;542,0383;True;1;1;0,0667;0,0667;0,0000;0,0000;0,0000;0;15;0;0;0;0;0;0;0;0;;0;15;15;13;15;0;101,5833
45;3;20260710;16;14;True;False;False;False;False;72,6134;19,7418;50,0579;25,0579;35,0579;4,4815;2,5208;0,5625;12,0000;40,3333;397,2967;True;1;1;0,0625;0,0625;0,0000;0,0000;0,0000;0;16;0;0;0;0;0;0;0;0;;0;16;16;9;16;0;107,0833
60;3;20260710;19;11;True;False;False;False;False;53,0181;14,4143;44,3752;19,3752;29,3752;5,6750;2,9868;0,5263;18,0000;56,7500;431,3917;True;1;1;0,0526;0,0526;0,0000;0,0000;0,0000;0;19;0;0;0;0;0;0;0;0;;0;16;19;10;19;0;118,7500
75;3;20260710;19;11;False;True;True;True;False;-48,5221;-13,1919;14,9286;-10,0714;-0,0714;4,4048;1,6228;0,3684;10,0833;30,8333;285,9833;True;1;1;0,0526;0,0526;0,0526;0,0000;0,0526;0;18;1;0;1;0;0;0;0;0;;1;19;19;7;19;0;109,0000
90;3;20260710;22;8;True;False;False;False;False;30,8216;8,3796;33,6119;8,6119;18,6119;5,2667;1,1970;0,2273;10,7500;26,3333;149,0250;True;1;1;0,0455;0,0455;0,0000;0,0000;0,0000;0;22;0;0;0;0;0;0;0;0;;0;21;22;5;22;0;131,8333
30;4;20260711;14;16;True;False;False;False;False;82,0663;22,3118;52,7992;27,7992;37,7992;2,8654;2,6607;0,9286;5,9167;37,2500;498,0633;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0;14;0;0;0;0;0;0;0;0;;0;13;14;13;14;0;83,0000
45;4;20260711;16;14;True;False;False;False;False;47,1773;12,8263;37,5804;12,5804;22,5804;4,8542;2,4271;0,5000;10,5000;38,8333;661,6550;True;2;2;0,1250;0,1250;0,0000;0,0000;0,0000;0;16;0;0;0;0;0;0;0;0;;0;16;16;8;16;0;120,8333
