transition_min;replication;seed;generated_active_count;cancelled_not_started_count;all_aircraft_land_above_reserve;at_least_one_aircraft_ever_low_fuel;at_least_one_aircraft_ever_emergency_endurance;at_least_one_aircraft_ever_below_reserve;at_least_one_aircraft_landed_below_reserve;minimum_fuel_margin_percent_of_reserve;minimum_fuel_margin_percent_of_normal_load;minimum_remaining_endurance_min;minimum_low_fuel_endurance_margin_min;minimum_emergency_endurance_margin_min;mean_holding_time_min;mean_holding_time_per_active_aircraft_min;holding_delay_rate;max_holding_time_min;total_holding_time_min;total_holding_fuel_consumption_kg;at_least_one_go_around;total_go_around_count;go_around_sortie_count;go_around_sortie_rate;go_around_events_per_active_sortie;diversion_rate;diversion_before_holding_rate;diversion_after_holding_rate;fuel_priority_landings;landed_count;diverted_count;diverted_before_holding_count;diverted_after_holding_count;crashed_count;crashed_from_go_around_transition_count;crashed_from_other_status_count;crashed_after_go_around_count;crashed_without_go_around_count;crashed_from_statuses;not_landed_count;ever_vfr_activity_count;ever_ready_for_approach_count;ever_holding_count;ever_approach_count;active_unresolved_count;final_simulation_time_min
30;1;20260708;15;15;False;True;True;True;True;-45,7904;-12,4493;14,4687;-10,5313;-0,5313;25,6250;23,9167;0,9333;50,1667;358,7500;5439,1200;True;4;3;0,2000;0,2667;0,0000;0,0000;0,0000;2;15;0;0;0;0;0;0;0;0;;0;15;15;14;15;0;106,6667
45;1;20260708;16;14;False;True;False;True;True;-44,5821;-12,1208;16,0712;-8,9288;1,0712;21,6204;12,1615;0,5625;35,3333;194,5833;3323,3283;True;2;2;0,1250;0,1250;0,0000;0,0000;0,0000;1;16;0;0;0;0;0;0;0;0;;0;16;16;9;16;0;137,2500
60;1;20260708;18;12;False;True;True;True;False;-48,4465;-13,1714;14,9505;-10,0495;-0,0495;21,2381;8,2593;0,3889;30,3333;148,6667;2232,4400;True;1;1;0,0556;0,0556;0,0556;0,0000;0,0556;0;17;1;0;1;0;0;0;0;0;;1;16;18;7;18;0;113,9167
75;1;20260708;21;9;False;True;True;True;False;-12,7519;-2,0936;14,9958;-10,0042;-0,0042;12,2292;4,6587;0,3810;27,6667;97,8333;1470,2883;False;0;0;0,0000;0,0000;0,0476;0,0000;0,0476;0;20;1;0;1;0;0;0;0;0;;1;20;21;8;20;0;120,5833
90;1;20260708;22;8;True;False;False;False;False;29,0263;7,8915;35,8917;10,8917;20,8917;12,0208;2,1856;0,1818;26,1667;48,0833;235,8350;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0;22;0;0;0;0;0;0;0;0;;0;21;22;4;22;0;129,3333
30;2;20260709;15;15;True;False;False;False;False;6,5844;1,7901;30,5185;5,5185;15,5185;25,6389;20,5111;0,8000;43,5833;307,6667;4204,2533;True;1;1;0,0667;0,0667;0,0000;0,0000;0,0000;0;15;0;0;0;0;0;0;0;0;;0;12;15;12;15;0;96,4167
45;2;20260709;16;14;True;False;False;False;False;62,6945;10,2931;27,9631;2,9631;12,9631;17,2803;11,8802;0,6875;34,5000;190,0833;2532,8717;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0;16;0;0;0;0;0;0;0;0;;0;16;16;11;16;0;101,3333
60;2;20260709;18;12;False;True;True;True;False;-48,3689;-13,1503;14,9730;-10,0270;-0,0270;21,1354;9,3935;0,4444;36,9167;169,0833;2326,6167;True;1;1;0,0556;0,0556;0,0556;0,0000;0,0556;0;17;1;0;1;0;0;0;0;0;;1;16;18;8;18;0;115,3333
75;2;20260709;20;10;False;True;True;True;True;-43,0818;-11,7129;12,8751;-12,1249;-2,1249;15,9583;6,3833;0,4000;32,5833;127,6667;1816,6900;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;2;20;0;0;0;0;0;0;0;0;;0;19;20;8;20;0;124,5833
90;2;20260709;21;9;True;False;False;False;False;24,6698;6,7071;36,1543;11,1543;21,1543;7,9167;1,5079;0,1905;24,9167;31,6667;47,4350;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0;21;0;0;0;0;0;0;0;0;;0;21;21;4;21;0;129,9167
30;3;20260710;15;15;False;False;False;True;True;-10,2981;-2,7998;26,0136;1,0136;11,0136;24,1667;19,3333;0,8000;40,8333;290,0000;3906,9633;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0;15;0;0;0;0;0;0;0;0;;0;15;15;12;15;0;96,0000
45;3;20260710;16;14;True;False;False;False;False;65,6089;17,8374;45,7708;20,7708;30,7708;14,6042;7,3021;0,5000;27,1667;116,8333;1846,2933;True;1;1;0,0625;0,0625;0,0000;0,0000;0,0000;0;16;0;0;0;0;0;0;0;0;;0;16;16;8;16;0;103,6667
60;3;20260710;19;11;True;False;False;False;False;4,4842;1,2191;28,1601;3,1601;13,1601;15,2333;8,0175;0,5263;28,8333;152,3333;2212,1100;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0;19;0;0;0;0;0;0;0;0;;0;16;19;10;19;0;114,2500
75;3;20260710;19;11;False;True;True;True;True;-34,6070;-5,6817;11,2394;-13,7606;-3,7606;11,2222;3,5439;0,3158;24,4167;67,3333;1486,7917;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;1;19;0;0;0;0;0;0;0;0;;0;19;19;6;19;0;116,1667
90;3;20260710;22;8;True;False;False;False;False;30,8216;8,3796;33,6119;8,6119;18,6119;12,0417;2,1894;0,1818;26,1667;48,1667;236,8100;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0;22;0;0;0;0;0;0;0;0;;0;21;22;4;22;0;129,6667
30;4;20260711;14;16;False;True;False;True;True;-28,3983;-7,7208;20,7645;-4,2355;5,7645;26,1154;24,2500;0,9286;52,5833;339,5000;4549,9850;True;3;3;0,2143;0,2143;0,0000;0,0000;0,0000;1;14;0;0;0;0;0;0;0;0;;0;13;14;13;14;0;137,5000
45;4;20260711;16;14;False;False;False;True;True;-10,9498;-2,9770;25,8245;0,8245;10,8245;19,6667;8,6042;0,4375;28,8333;137,6667;2416,9700;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0;16;0;0;0;0;0;0;0;0;;0;16;16;7;16;0;96,2500
60;4;20260711;19;11;False;True;True;True;True;-60,4799;-16,4430;11,4608;-13,5392;-3,5392;16,4537;7,7939;0,4737;28,0000;148,0833;1956,0433;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;1;19;0;0;0;0;0;0;0;0;;0;16;19;9;19;0;111,5833
75;4;20260711;21;9;False;True;True;True;False;-12,8264;-2,1058;14,9830;-10,0170;-0,0170;13,2024;4,4008;0,3333;27,2500;92,4167;1370,6300;False;0;0;0,0000;0,0000;0,0476;0,0000;0,0476;0;20;1;0;1;0;0;0;0;0;;1;20;21;7;20;0;119,4167
90;4;20260711;21;9;True;False;False;False;False;23,3360;6,3445;33,2966;8,2966;18,2966;13,2083;2,5159;0,1905;27,2500;52,8333;637,8383;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0;21;0;0;0;0;0;0;0;0;;0;21;21;4;21;0;130,9167
30;5;20260712;16;14;False;True;False;True;True;-15,3628;-4,1768;24,5448;-0,4552;9,5448;19,8141;16,0990;0,8125;39,4167;257,5833;3774,9067;True;1;1;0,0625;0,0625;0,0000;0,0000;0,0000;1;16;0;0;0;0;0;0;0;0;;0;14;16;13;16;0;95,0833
45;5;20260712;16;14;False;True;False;True;True;-22,7757;-6,1921;22,3950;-2,6050;7,3950;16,0741;9,0417;0,5625;28,4167;144,6667;2443,6033;True;1;1;0,0625;0,0625;0,0000;0,0000;0,0000;1;16;0;0;0;0;0;0;0;0;;0;16;16;9;16;0;129,0833
60;5;20260712;18;12;True;False;False;False;False;23,6943;6,4419;27,7305;2,7305;12,7305;12,6548;4,9213;0,3889;22,4167;88,5833;1389,1567;True;1;1;0,0556;0,0556;0,0000;0,0000;0,0000;0;18;0;0;0;0;0;0;0;0;;0;16;18;7;18;0;138,0833
75;5;20260712;19;11;False;True;True;True;True;-35,7074;-5,8624;11,0503;-13,9497;-3,9497;12,2262;4,5044;0,3684;20,3333;85,5833;1528,9583;True;1;1;0,0526;0,0526;0,0000;0,0000;0,0000;1;19;0;0;0;0;0;0;0;0;;0;19;19;7;19;0;152,5000
90;5;20260712;21;9;True;False;False;False;False;23,6943;6,4419;33,9864;8,9864;18,9864;14,9500;3,5595;0,2381;27,2500;74,7500;844,7550;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0;21;0;0;0;0;0;0;0;0;;0;20;21;5;21;0;133,7500
30;6;20260713;16;14;False;True;True;True;True;-83,7849;-22,7790;4,7024;-20,2976;-10,2976;22,7917;19,9427;0,8750;50,2500;319,0833;4271,2050;True;2;1;0,0625;0,1250;0,0000;0,0000;0,0000;1;16;0;0;0;0;0;0;0;0;;0;14;16;14;16;0;110,1667
45;6;20260713;16;14;False;True;True;True;False;-48,4743;-13,1789;14,9425;-10,0575;-0,0575;17,7250;11,0781;0,6250;29,7500;177,2500;2826,5100;True;1;1;0,0625;0,0625;0,0625;0,0000;0,0625;0;15;1;0;1;0;0;0;0;0;;1;16;16;10;16;0;99,8333
60;6;20260713;18;12;False;True;False;True;True;-46,4908;-12,6397;15,5177;-9,4823;0,5177;15,6667;6,9630;0,4444;27,5000;125,3333;1857,2467;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;2;18;0;0;0;0;0;0;0;0;;0;16;18;8;18;0;110,1667
75;6;20260713;20;10;True;False;False;False;False;28,6429;7,7873;35,2740;10,2740;20,2740;16,0833;4,8250;0,3000;27,2500;96,5000;886,8883;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0;20;0;0;0;0;0;0;0;0;;0;19;20;6;20;0;122,8333
90;6;20260713;21;9;True;False;False;False;False;28,6429;7,7873;35,2740;10,2740;20,2740;9,9722;1,4246;0,1429;24,9167;29,9167;36,9350;False;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0;21;0;0;0;0;0;0;0;0;;0;21;21;3;21;0;128,2500
30;7;20260714;16;14;True;False;False;False;False;51,7463;14,0685;44,0064;19,0064;29,0064;21,2821;17,2917;0,8125;37,5833;276,6667;3894,5517;True;1;1;0,0625;0,0625;0,0000;0,0000;0,0000;0;16;0;0;0;0;0;0;0;0;;0;14;16;13;16;0;123,3333
45;7;20260714;16;14;False;True;False;True;True;-25,5896;-6,9572;18,1015;-6,8985;3,1015;20,2619;17,7292;0,8750;39,4167;283,6667;4961,9333;True;2;2;0,1250;0,1250;0,0000;0,0000;0,0000;3;16;0;0;0;0;0;0;0;0;;0;16;16;14;16;0;106,6667
60;7;20260714;17;13;False;True;False;True;True;-38,1637;-10,3758;17,9325;-7,0675;2,9325;15,0758;9,7549;0,6471;28,7500;165,8333;2886,4633;True;1;1;0,0588;0,0588;0,0000;0,0000;0,0000;3;17;0;0;0;0;0;0;0;0;;0;16;17;11;17;0;111,5833
